"SYMBOL","PURPOSE","VALUE","EX_DATE"
"CROMPGREAV","3RD INTERIM DIVIDEND-RE.0.60 PER SHARE (PURPOSE REVISED)","0.6","2011-03-28"
"CROMPGREAV","INTERIM DIV-RS.0.80 PR SHPURPOSE REVISED","0.8","2008-02-04"
"CROMPGREAV","INTERIM DIVIDEND-RE.0.80 PER SHARE (PURPOSE REVISED)","0.8","2010-10-29"
"CROMPGREAV","INT DIV-RE.0.80 PER SHAREPURPOSE REVISED","0.8","2009-10-30"
"CROMPGREAV","2ND INTERIM DIVIDEND-RE.0.80 PER SHARE (PURPOSE REVISED)","0.8","2011-02-03"
"CROMPGREAV","2ND INT DIV-RS.1.40 PR SHPURPOSE REVISED","1.4","2010-02-04"
"CROMPGREAV","INTERIM DIVIDEND-20%     PURPOSE REVISED","20.00%","2006-10-26"
"CROMPGREAV","INTERIM DIVIDEND-20%     PURPOSE REVISED","20.00%","2007-11-02"
"CROMPGREAV","3RD INT DIV - 20%        PURPOSE REVISED","20.00%","2008-04-03"
"CROMPGREAV","INTERIM DIVIDEND-25%     PURPOSE REVISED","25.00%","2007-02-01"
"CROMPGREAV","3RD INTERIM DIVIDEND-25% PURPOSE REVISED","25.00%","2007-03-23"
"CROMPGREAV","3RD INTERIM DIVIDEND-25% PURPOSE REVISED","25.00%","2009-03-30"
"CROMPGREAV","INTERIM DIVIDEND - 35%   PURPOSE REVISED","35.00%","2008-10-27"
"CROMPGREAV","INTERIM DIVIDEND - 40%   PURPOSE REVISED","40.00%","2009-01-29"
"CUMMINSIND","INTERIM DIV- RS.2 PER SH","2","2008-02-14"
"CUMMINSIND","AGM/DIV-RS.2.60/-PERSHARE","2.6","2009-07-23"
"CUMMINSIND","ANNUAL GENERAL MEETING AND DIVIDEND RS.6/- PER SHARE","6","2010-08-05"
"CUMMINSIND","INTERIM DIVIDEND-RS.7/- PER SHARE (PURPOSE REVISED)","7","2011-02-10"
"CUMMINSIND","AGM/DIVIDEND-100%","100.00%","2005-07-15"
"CUMMINSIND","AGM/FINAL DIVIDEND-100%","100.00%","2007-07-19"
"CUMMINSIND","AGM/FINAL DIVIDEND-100%","100.00%","2006-07-17"
"CUMMINSIND","INTERIM DIVIDEND-100%","100.00%","2007-02-08"
"CUMMINSIND","SPECIAL DIVIDEND - 120%  PURPOSE REVISED","120.00%","2008-12-15"
